family,total_sales,mean_sales,zero_sales_rate,mean_onpromotion
GROCERY I,343462720.0,3776.972,0.08062813407231459,21.05657825283716
BEVERAGES,216954480.0,2385.793,0.08061713732735111,9.973585818597694
PRODUCE,122704690.0,1349.3522,0.2835510688836104,12.293492126330607
CLEANING,97521290.0,1072.4167,0.08061713732735111,7.270574909826691
DAIRY,64487708.0,709.1549,0.08061713732735111,8.013405032110496
BREAD/BAKERY,42133944.0,463.33624,0.08060614058238762,3.6431006422099057
POULTRY,31876004.0,350.5323,0.08076009501187649,2.489893991378552
MEATS,31086468.0,341.84998,0.08061713732735111,3.343318377760183
PERSONAL CARE,24592052.0,270.43253,0.08065012756224157,2.7154042403448577
DELI,24110322.0,265.13507,0.08061713732735111,6.414577285123603
HOME CARE,16022744.0,176.19803,0.4090899093868215,2.168888009149292
EGGS,15588296.0,171.42052,0.08061713732735111,2.143507521773555
FROZEN FOODS,14073888.0,154.76695,0.08091404944136536,1.381565056743204
PREPARED FOODS,8799895.0,96.7702,0.08083707222662093,0.412641858010029
"LIQUOR,WINE,BEER",7746640.0,85.18783,0.17865311867687164,0.5135479897950207
SEAFOOD,2015431.9,22.16319,0.19358669833729217,0.429444884314243
GROCERY II,1962767.0,21.584047,0.12112914577285123,0.08079308524676695
HOME AND KITCHEN I,1861491.0,20.470343,0.3464524500747779,0.5159782704319521
HOME AND KITCHEN II,1520670.0,16.72242,0.3471342482625143,0.36084718923198733
CELEBRATION,761177.0,8.370469,0.43633984340635174,0.07393111638954869
LINGERIE,653114.0,7.182128,0.16046450250725786,0.03095583707222662
LADIESWEAR,651159.0,7.1606293,0.5984648544030967,0.018474531538664556
PLAYERS AND ELECTRONICS,562608.0,6.1868567,0.44886513591976773,0.020607900061581773
AUTOMOTIVE,554822.0,6.101236,0.1278481569455441,0.05259743116037653
LAWN AND GARDEN,548842.0,6.0354757,0.46784551772675287,0.12325151755080496
PET SUPPLIES,356584.0,3.9212632,0.546153338611771,0.03573942113134512
BEAUTY,337893.0,3.715723,0.2628222046274303,0.14826911234274653
SCHOOL AND OFFICE SUPPLIES,269316.0,2.9615993,0.7408287147004486,0.1601675903932436
MAGAZINES,266359.0,2.929082,0.5653866455529163,0.0032660332541567696
HARDWARE,103470.0,1.1378332,0.47862232779097386,0.0017924694290490015
HOME APPLIANCES,41601.0,0.45747557,0.7351763877892143,0.0006378112078824668
BABY CARE,10051.0,0.11052828,0.9413103721298496,0.0005828274830650127
BOOKS,6438.0,0.07079704,0.9695500131960939,0.0
