date,period,row_count,total_sales,mean_sales,promotion_sum,promoted_store_count,max_onpromotion
2017-01-01,train_2017,54,0.0,0.0,0,0,0
2017-01-02,train_2017,54,158.0,2.925926,0,0,0
2017-01-03,train_2017,54,109.0,2.0185184,0,0,0
2017-01-04,train_2017,54,93.0,1.7222222,0,0,0
2017-01-05,train_2017,54,77.0,1.425926,0,0,0
2017-01-06,train_2017,54,55.0,1.0185186,0,0,0
2017-01-07,train_2017,54,93.0,1.7222222,0,0,0
2017-01-08,train_2017,54,154.0,2.851852,0,0,0
2017-01-09,train_2017,54,84.0,1.5555556,0,0,0
2017-01-10,train_2017,54,119.0,2.2037036,0,0,0
2017-01-11,train_2017,54,87.0,1.6111112,0,0,0
2017-01-12,train_2017,54,63.0,1.1666666,0,0,0
2017-01-13,train_2017,54,46.0,0.8518519,0,0,0
2017-01-14,train_2017,54,131.0,2.425926,0,0,0
2017-01-15,train_2017,54,175.0,3.2407408,0,0,0
2017-01-16,train_2017,54,70.0,1.2962962,0,0,0
2017-01-17,train_2017,54,80.0,1.4814814,0,0,0
2017-01-18,train_2017,54,85.0,1.574074,1,1,1
2017-01-19,train_2017,54,84.0,1.5555556,0,0,0
2017-01-20,train_2017,54,51.0,0.9444444,0,0,0
2017-01-21,train_2017,54,105.0,1.9444444,0,0,0
2017-01-22,train_2017,54,192.0,3.5555556,0,0,0
2017-01-23,train_2017,54,94.0,1.7407408,0,0,0
2017-01-24,train_2017,54,88.0,1.6296296,0,0,0
2017-01-25,train_2017,54,84.0,1.5555556,0,0,0
2017-01-26,train_2017,54,44.0,0.8148148,0,0,0
2017-01-27,train_2017,54,46.0,0.8518519,0,0,0
2017-01-28,train_2017,54,97.0,1.7962962,0,0,0
2017-01-29,train_2017,54,131.0,2.425926,0,0,0
2017-01-30,train_2017,54,89.0,1.6481482,0,0,0
2017-01-31,train_2017,54,91.0,1.6851852,0,0,0
2017-02-01,train_2017,54,87.0,1.6111112,0,0,0
2017-02-02,train_2017,54,81.0,1.5,0,0,0
2017-02-03,train_2017,54,70.0,1.2962962,1,1,1
2017-02-04,train_2017,54,79.0,1.462963,0,0,0
2017-02-05,train_2017,54,126.0,2.3333333,0,0,0
2017-02-06,train_2017,54,58.0,1.074074,0,0,0
2017-02-07,train_2017,54,57.0,1.0555556,2,2,1
2017-02-08,train_2017,54,58.0,1.074074,1,1,1
2017-02-09,train_2017,54,66.0,1.2222222,0,0,0
2017-02-10,train_2017,54,46.0,0.8518519,0,0,0
2017-02-11,train_2017,54,71.0,1.3148148,0,0,0
2017-02-12,train_2017,54,131.0,2.425926,0,0,0
2017-02-13,train_2017,54,70.0,1.2962962,0,0,0
2017-02-14,train_2017,54,46.0,0.8518519,0,0,0
2017-02-15,train_2017,54,70.0,1.2962962,0,0,0
2017-02-16,train_2017,54,60.0,1.1111112,0,0,0
2017-02-17,train_2017,54,43.0,0.7962963,0,0,0
2017-02-18,train_2017,54,61.0,1.1296296,0,0,0
2017-02-19,train_2017,54,77.0,1.425926,0,0,0
2017-02-20,train_2017,54,44.0,0.8148148,0,0,0
2017-02-21,train_2017,54,64.0,1.1851852,0,0,0
2017-02-22,train_2017,54,33.0,0.6111111,0,0,0
2017-02-23,train_2017,54,35.0,0.6481481,0,0,0
2017-02-24,train_2017,54,24.0,0.44444445,0,0,0
2017-02-25,train_2017,54,48.0,0.8888889,0,0,0
2017-02-26,train_2017,54,36.0,0.6666667,1,1,1
2017-02-27,train_2017,54,51.0,0.9444444,0,0,0
2017-02-28,train_2017,54,97.0,1.7962962,0,0,0
2017-03-01,train_2017,54,91.0,1.6851852,0,0,0
2017-03-02,train_2017,54,53.0,0.9814815,0,0,0
2017-03-03,train_2017,54,64.0,1.1851852,0,0,0
2017-03-04,train_2017,54,87.0,1.6111112,0,0,0
2017-03-05,train_2017,54,149.0,2.7592592,0,0,0
2017-03-06,train_2017,54,83.0,1.537037,0,0,0
2017-03-07,train_2017,54,105.0,1.9444444,0,0,0
2017-03-08,train_2017,54,62.0,1.1481482,0,0,0
2017-03-09,train_2017,54,59.0,1.0925926,0,0,0
2017-03-10,train_2017,54,65.0,1.2037038,0,0,0
2017-03-11,train_2017,54,97.0,1.7962962,0,0,0
2017-03-12,train_2017,54,174.0,3.2222223,0,0,0
2017-03-13,train_2017,54,85.0,1.574074,0,0,0
2017-03-14,train_2017,54,82.0,1.5185186,0,0,0
2017-03-15,train_2017,54,101.0,1.8703704,0,0,0
2017-03-16,train_2017,54,87.0,1.6111112,0,0,0
2017-03-17,train_2017,54,68.0,1.2592592,0,0,0
2017-03-18,train_2017,54,150.0,2.7777777,0,0,0
2017-03-19,train_2017,54,186.0,3.4444444,1,1,1
2017-03-20,train_2017,54,108.0,2.0,0,0,0
2017-03-21,train_2017,54,81.0,1.5,0,0,0
2017-03-22,train_2017,54,109.0,2.0185184,0,0,0
2017-03-23,train_2017,54,305.0,5.648148,59,24,6
2017-03-24,train_2017,54,420.0,7.7777777,62,26,6
2017-03-25,train_2017,54,779.0,14.425926,81,27,7
2017-03-26,train_2017,54,803.0,14.87037,90,27,8
2017-03-27,train_2017,54,662.0,12.259259,74,26,7
2017-03-28,train_2017,54,657.0,12.166667,68,25,5
