family,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
LADIESWEAR,0,770,1721,0.5253237425242673,0.4849739465137984,0.0403497960104689,0.04076530566253411,0.001100914890577696,0.04165155843221005,0.02700617283950617,0.03018027497194164,False,0.35454545454545455,8.522077922077923,8.452049843540705,-0.07002807853721815,0.0
LAWN AND GARDEN,0,770,1566,0.44846855843532996,0.4012360987267264,0.04723245970860357,0.04013364098361963,0.0010838560450823203,0.030355766084067433,0.02700617283950617,0.027462121212121212,False,0.33376623376623377,13.846753246753247,14.317271325271562,0.47051807851831595,0.0
MAGAZINES,0,864,1723,0.5482571376545989,0.5152823865244311,0.03297475113016779,0.03506995112690059,0.0010627257917242602,0.05090597998660327,0.030303030303030304,0.030215347923681257,False,0.1423611111111111,7.113425925925926,5.627805529720406,-1.4856203962055206,0.0
HOME AND KITCHEN II,2-5,223,194,0.5243844430726874,0.37965602236620644,0.14472842070648095,0.13084034881772308,0.0010233374644483813,0.01201962538366837,0.007821268237934905,0.0034020763187429855,False,0.0,53.869955156950674,51.953113548994885,-1.9168416079557853,2.2645739910313902
SEAFOOD,0,762,1102,0.5067083563788068,0.47318050018352237,0.03352785619528448,0.03285357267018352,0.0008780310877763693,0.03834931187572647,0.026725589225589225,0.01932519640852974,False,0.09711286089238845,18.938431782152232,17.528262332137494,-1.4101694500147353,0.0
GROCERY II,0,762,1109,0.6552239475437104,0.6323379888338753,0.02288595870983512,0.02946708931229286,0.0007875253246340894,0.06412405328852805,0.026725589225589225,0.019447951739618406,False,0.01968503937007874,27.101049868766403,32.15564603991364,5.054596171147238,0.0
"LIQUOR,WINE,BEER",0,65,199,0.8763787184267416,0.7040028917935303,0.17237582663321138,0.27241958645764514,0.0006210463355691264,0.009785510188340675,0.0022797418630751964,0.0034897586980920316,False,0.015384615384615385,21.123076923076923,28.6571671436498,7.534090220572878,0.0
LINGERIE,0,683,1715,0.6419328362771544,0.6223986750843086,0.01953416119284579,0.024697655544129116,0.0005916280421099954,0.05516788793482503,0.02395482603815937,0.030075056116722784,False,0.10980966325036604,5.780380673499268,4.486378419608398,-1.29400225389087,0.0
FROZEN FOODS,1,513,579,0.28439029678968225,0.2219854201294984,0.06240487666018385,0.03160031415805362,0.0005685662585255861,0.008132674400172735,0.017992424242424244,0.01015361952861953,False,0.0,139.54210132358673,145.42138372774662,5.87928240415989,1.0
"LIQUOR,WINE,BEER",2-5,539,1099,0.4590092607641315,0.43372766990787937,0.025281590856252145,0.022569809823516113,0.0004266669295340623,0.02225963977290757,0.01890432098765432,0.019272586980920315,False,0.0,96.94990723562152,93.78754165759155,-3.1623655780299673,3.269016697588126
LINGERIE,6-10,14,1,1.0745115786525914,0.5526878980958725,0.5218236805567189,0.8491112199568508,0.00041693171574761195,0.0031683759368253506,0.0004910213243546577,1.7536475869809205e-05,False,0.0,51.714285714285715,18.179765167699355,-33.534520546586364,6.0
EGGS,1,318,337,0.3901348111911322,0.342920077286963,0.04721473390416919,0.03461099149664369,0.0003860232637462365,0.009487307963168988,0.011153198653198653,0.0059097923681257014,False,0.0,146.26415094339623,147.3397165072635,1.0755655638672474,1.0
BEAUTY,0,359,925,0.5581516229801388,0.5301553183810997,0.027996304599039012,0.030468572627597668,0.0003836355770660621,0.021922258958421193,0.012591189674523008,0.016221240179573514,False,0.22284122562674094,3.0278551532033426,2.807614928477631,-0.22024022472571192,0.0
HOME CARE,6-10,622,526,0.2567187316685093,0.21989763924802372,0.03682109242048556,0.017549535442634094,0.000382849713991246,0.008035112704124731,0.02181537598204265,0.00922418630751964,False,0.0,323.9003215434084,377.1115156059781,53.21119406256973,7.585209003215434
MEATS,0,735,1305,0.2289013124836787,0.19382543014917472,0.03507588233450398,0.014827513484238122,0.00038223282866565024,0.0075486688866696,0.02577861952861953,0.022885101010101012,False,0.0,339.2124238326531,347.8039770490792,8.591553216426156,0.0
CLEANING,11-50,724,1578,0.33998183525915376,0.3171858228348957,0.02279601242425805,0.014980802098732524,0.00038040476709744485,0.016403497820168495,0.025392817059483725,0.02767255892255892,False,0.0,1317.0607734806629,1485.9596342318316,168.89886075116857,17.46685082872928
"LIQUOR,WINE,BEER",6-10,116,119,0.3529605328817056,0.19392671949178727,0.15903381338991832,0.08697356523929121,0.0003538486801261848,0.0028326750235647758,0.004068462401795735,0.002086840628507295,False,0.0,222.7155172413793,195.3365533469801,-27.378963894399206,6.896551724137931
BEVERAGES,11-50,615,1652,0.23405440333974045,0.1971360451884131,0.03691835815132735,0.01591884341019386,0.00034336730840590717,0.00660381987637966,0.02156986531986532,0.028970258136924804,False,0.0,3542.5235772357723,3607.015548546325,64.49197131055284,23.547967479674796
LINGERIE,1,50,7,0.5638115769769169,0.36240839986960527,0.2014031771073116,0.18654364603715015,0.00032713181473967133,0.0031154763145277305,0.0017536475869809204,0.00012275533108866443,False,0.0,9.48,9.735266275308929,0.25526627530892804,1.0
BEAUTY,1,313,634,0.41695000450040454,0.3806208604203786,0.03632914408002591,0.028975066865738003,0.0003180834711341188,0.01066593111371688,0.010977833894500562,0.011118125701459034,False,0.0,6.223642172523961,5.7533553005446,-0.47028687197936203,1.0
BEVERAGES,6-10,226,8,0.2505368962737041,0.1522938502003301,0.09824304607337403,0.03957531958562019,0.0003136932599028536,0.002780598577377232,0.00792648709315376,0.00014029180695847364,False,0.0,3453.7699115044247,4173.074872705525,719.3049612011001,8.415929203539823
GROCERY II,1,59,492,0.6815369291125339,0.5618297258970578,0.11970720321547612,0.14883994484257995,0.00030799511594108506,0.0053717682624266384,0.002069304152637486,0.008627946127946129,False,0.0,62.016949152542374,58.45074104643982,-3.566208106102549,1.0
BEAUTY,2-5,192,169,0.379186036587489,0.32210853133284534,0.05707750525464367,0.04002814438552592,0.00026954979384192536,0.00541118487838156,0.006734006734006734,0.0029636644219977553,False,0.0,14.177083333333334,11.131988851371176,-3.045094481962158,2.0
AUTOMOTIVE,0,854,1668,0.5124675152124594,0.5046622512414027,0.007805263971056631,0.00793896631999147,0.0002377903071434033,0.04396195770676716,0.029952300785634118,0.02925084175084175,False,0.02927400468384075,7.3629976580796255,6.321260307275515,-1.0417373508041106,0.0
DAIRY,11-50,556,1396,0.17771073472002452,0.14381642568236994,0.033894309037654585,0.010897940938678293,0.00021251596387153237,0.0034418234370299596,0.019500561167227835,0.024480920314253647,False,0.0,946.8794964028777,1063.5790636596284,116.69956725675081,20.214028776978417
BREAD/BAKERY,6-10,387,585,0.20340156887217262,0.16095910921844486,0.042442459653727754,0.015464363379265919,0.0002099013968776624,0.0031383836528361708,0.013573232323232324,0.010258838383838384,False,0.0,441.7539715503876,470.2484883730362,28.494516822648567,8.439276485788113
GROCERY I,11-50,476,357,0.1870461083154194,0.1547201093629814,0.03232599895243801,0.011047934394650682,0.00018444222684672158,0.003264305353607742,0.01669472502805836,0.006260521885521886,False,0.0,4319.035714285715,4763.514661143215,444.4789468575005,37.85504201680672
LADIESWEAR,1,5,7,1.0770224786902671,0.44163452369458006,0.6353879549956871,0.9649363670851885,0.00016921583317290763,0.0011368574463874706,0.00017536475869809202,0.00012275533108866443,False,0.0,5.2,11.028995641442936,5.828995641442936,1.0
DELI,6-10,540,392,0.19036747733221784,0.1659178161793303,0.024449661152887547,0.008711054700114435,0.00016498209659307643,0.00383588643261004,0.01893939393939394,0.0068742985409652076,False,0.0,343.3970962962963,375.4965079416683,32.09941164537201,7.287037037037037
EGGS,6-10,15,14,0.6569070569673857,0.3597801231623974,0.29712693380498834,0.30208514447080237,0.00015892526539920159,0.00126877784063176,0.0005260942760942761,0.00024551066217732886,False,0.0,207.26666666666668,123.54989078745255,-83.71677587921411,9.2
PREPARED FOODS,0,697,1474,0.2856980552196993,0.2761113986771285,0.009586656542570848,0.005385874276878172,0.00013166226048625442,0.011151513577075566,0.02444584736251403,0.025848765432098766,False,0.0,91.6867661836442,94.49151760506363,2.8047514214194567,0.0
PRODUCE,2-5,253,262,0.18327986085350897,0.14144458253014375,0.04183527832336523,0.013584937467354969,0.0001205453556131035,0.001665852271235895,0.008873456790123456,0.004594556677890011,False,0.0,881.7290313043478,936.367394568924,54.63836326457623,3.4347826086956523
DELI,2-5,208,175,0.2206270608581709,0.18184942069279608,0.03877764016537483,0.015607088176609524,0.00011385642328615254,0.0019845743094459535,0.007295173961840628,0.0030688832772166105,False,0.0,180.85391826923075,196.38421695313428,15.53029868390351,4.269230769230769
EGGS,11-50,120,230,0.34069130480219173,0.2988649217693035,0.041826383032888215,0.026750323703648007,0.00011258553747326603,0.0027301707930653674,0.004208754208754209,0.004033389450056117,False,0.0,295.725,270.5941768182653,-25.130823181734748,20.608333333333334
POULTRY,1,133,86,0.23402429729716526,0.18935504130084768,0.044669255996317575,0.018912040059386265,8.821904208397775e-05,0.0014277757843576145,0.004664702581369248,0.0015081369248035915,False,0.0,246.05367722556392,256.3871027466808,10.33342552111688,1.0
PERSONAL CARE,11-50,244,70,0.23359213340563792,0.21060567398340377,0.02298645942223415,0.010210534874993592,8.737971764514717e-05,0.0026097128485245823,0.00855780022446689,0.0012275533108866443,False,0.0,486.2336065573771,507.9927611696519,21.75915461227481,12.09016393442623
DELI,11-50,41,785,0.2875555613512255,0.15567904221686898,0.13187651913435652,0.05845223667845674,8.40537915199469e-05,0.0006645288963334606,0.0014379910213243546,0.013766133557800224,False,0.0,198.1550488780488,223.32571258954,25.170663711491216,41.97560975609756
POULTRY,0,619,1348,0.20770256113895472,0.19866972303688474,0.009032838102069979,0.0036706950521287404,7.969136634636962e-05,0.005234326677566489,0.021710157126823792,0.023639169472502806,False,0.0,381.3424619660743,395.1050997480012,13.762637781926838,0.0
BREAD/BAKERY,2-5,113,250,0.21770887132420427,0.16832995671493078,0.04937891460927349,0.019062178325608456,7.55480552326654e-05,0.0010498256202829482,0.00396324354657688,0.004384118967452301,False,0.0,311.6687256637168,317.5130759627511,5.8443502990342795,3.982300884955752
FROZEN FOODS,0,180,871,0.3271138956389873,0.3092694211835469,0.017844474455440407,0.011355925840908151,7.169145101583429e-05,0.0037753477636567807,0.006313131313131313,0.015274270482603816,False,0.0,58.02217224444444,54.70531318875773,-3.316859055686714,0.0
HOME AND KITCHEN II,0,355,916,0.4503213762001614,0.44399461253309563,0.006326763667065749,0.005658125904393518,7.044874775742491e-05,0.014111070121574622,0.012450897867564535,0.01606341189674523,False,0.0,18.8112676056338,16.67555677693861,-2.1357108286951934,0.0
PREPARED FOODS,1,149,206,0.2837298030788954,0.2606863965312514,0.023043406547643974,0.012545203818739928,6.555960188665296e-05,0.002351162535491857,0.005225869809203142,0.003612514029180696,False,0.0,68.30561081879195,64.39897491585499,-3.9066359029369537,1.0
GROCERY I,51+,385,1368,0.14924597902388434,0.13291529010114847,0.01633068892273587,0.004607887912125269,6.222070868996313e-05,0.001680941034454487,0.013503086419753086,0.023989898989898988,False,0.0,4950.2360181818185,4751.46651344212,-198.76950473969757,61.06233766233766
PERSONAL CARE,6-10,535,903,0.20903182938318812,0.20204361361926332,0.006988215763924804,0.0028726838909521046,5.390312435674018e-05,0.004582105623069825,0.01876402918069585,0.01583543771043771,False,0.0,268.2411214953271,273.56546646648263,5.324344971155525,8.14766355140187
PERSONAL CARE,2-5,82,728,0.26768317279478315,0.23583060152706664,0.03185257126771651,0.016038208380863637,4.6125599299621854e-05,0.0011517082188577242,0.0028759820426487092,0.012766554433221099,False,0.0,173.3780487804878,173.12028206989413,-0.2577667105936757,4.2439024390243905
GROCERY II,2-5,39,121,0.5631825445439657,0.5328526024006637,0.03032994214330198,0.03324268259385599,4.5470841090080786e-05,0.002424652193212114,0.001367845117845118,0.0021219135802469135,False,0.0,15.64102564102564,16.351210727274964,0.7101850862493226,3.230769230769231
PRODUCE,6-10,375,423,0.16236491510005505,0.15519426975439699,0.007170645345658061,0.002277104290847546,2.994928833711524e-05,0.0019377695112815388,0.013152356902356903,0.007417929292929293,False,0.0,2652.59332976,2943.2170950221102,290.62376526211006,7.712
POULTRY,11-50,105,264,0.2297727555563305,0.2124492065337249,0.017323549022605605,0.0076608538391399125,2.8212319483364575e-05,0.001086607842970009,0.003682659932659933,0.004629629629629629,False,0.0,513.7266274476191,562.3467222197808,48.62009477216178,28.0
HOME AND KITCHEN I,2-5,150,953,0.41265730442266113,0.4066236084365689,0.0060336959860922135,0.0049432919554006916,2.6006376027991857e-05,0.005006760348148481,0.005260942760942761,0.01671226150392817,False,0.0,34.89333333333333,31.898643951215146,-2.994689382118187,2.8333333333333335
PRODUCE,51+,131,215,0.1473780786723621,0.12996609043399437,0.01741198823836773,0.004829113410459749,2.2187635268316046e-05,0.0005577294120079134,0.004594556677890011,0.003770342312008979,False,0.0,3062.758903053435,3060.3202995161946,-2.4386035372402075,150.25190839694656
PLAYERS AND ELECTRONICS,1,10,48,0.45140232423276544,0.3834656065576128,0.06793671767515264,0.0567181869101448,1.9892742322581647e-05,0.0003994055109958913,0.00035072951739618404,0.0008417508417508417,False,0.0,23.2,18.968690480634184,-4.2313095193658175,1.0
