family,store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
GROCERY II,19,Guaranda,Bolivar,C,15,0,15,27,1.9216665174248608,1.1947418663437195,0.7269246510811413,2.2653940769973184,0.001191810857006165,0.010857598465936296,0.0005260942760942761,0.0004734848484848485,False,0.06666666666666667,17.266666666666666,54.5708114056009,37.304144738934234,0.0
SCHOOL AND OFFICE SUPPLIES,38,Loja,Loja,D,4,0,16,32,1.2440503748861131,0.18278755580657954,1.0612628190795337,1.514250044696535,0.0008497474998297054,0.00485380569306673,0.0005611672278338945,0.0005611672278338945,False,0.625,4.9375,0.20890745337166217,-4.728592546628338,0.0
GROCERY II,26,Guayaquil,Guayas,D,10,0,13,6,1.3597649701810763,0.2819070969350186,1.0778578732460578,1.7694891628292138,0.0008067957041519283,0.0047114818361331514,0.00045594837261503927,0.00010521885521885521,False,0.15384615384615385,6.0,14.987055814263812,8.987055814263812,0.0
SCHOOL AND OFFICE SUPPLIES,9,Quito,Pichincha,B,6,6-10,15,2,1.501074733254258,0.8932480134047912,0.6078267198494668,1.4553333413627354,0.0007656425407000923,0.006624946261153808,0.0005260942760942761,3.507295173961841e-05,False,0.0,145.2,31.893540858500558,-113.30645914149945,8.066666666666666
GROCERY II,14,Riobamba,Chimborazo,C,7,0,14,27,1.4428753872700393,0.806869900407686,0.6360054868623533,1.430850347005757,0.0007025780323400883,0.005713104360425736,0.0004910213243546577,0.0004734848484848485,False,0.07142857142857142,4.285714285714286,15.434049492456822,11.148335206742535,0.0
"LIQUOR,WINE,BEER",32,Guayaquil,Guayas,C,3,0,6,18,1.9458812383621824,1.0665191110465226,0.8793621273156598,2.6489907795824754,0.0005574475546259418,0.004453181365234504,0.00021043771043771043,0.0003156565656565657,False,0.16666666666666666,1.8333333333333333,15.304541336169367,13.471208002836034,0.0
LADIESWEAR,20,Quito,Pichincha,B,6,0,16,32,1.1484157516617854,0.6406387711076774,0.507776980554108,0.9084407036185485,0.0005097871513010934,0.004136230522959185,0.0005611672278338945,0.0005611672278338945,False,0.4375,1.375,4.407732084732717,3.0327320847327166,0.0
HOME AND KITCHEN I,36,Libertad,Guayas,E,10,1,6,4,1.3489265073285421,0.45606127261040386,0.8928652347181383,1.6116108377985585,0.000339143694822929,0.002140002592335896,0.00021043771043771043,7.014590347923682e-05,False,0.0,69.16666666666667,15.854478770266626,-53.31218789640004,1.0
HOME AND KITCHEN II,38,Loja,Loja,D,4,2-5,12,14,0.9941521344237875,0.4781121605117777,0.5160399739120098,0.7597472283501324,0.00031975893449079644,0.0023247347944507822,0.00042087542087542086,0.00024551066217732886,False,0.0,76.75,58.99920280625076,-17.750797193749246,2.3333333333333335
HOME AND KITCHEN II,23,Ambato,Tungurahua,D,9,2-5,7,3,1.1572295827406331,0.32569572751364095,0.8315338552269922,1.2331026002494203,0.0003027398359198212,0.0018374839974849254,0.00024551066217732886,5.260942760942761e-05,False,0.0,35.0,10.58989185819903,-24.410108141800972,2.142857142857143
