family,store_nbr,city,state,store_type,cluster,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
SCHOOL AND OFFICE SUPPLIES,47,Quito,Pichincha,A,14,16,32,2.7358610951758955,0.721499460651159,2.0143616345247364,6.964374460377136,0.003908178709527013,0.023474402191150788,0.0005611672278338945,0.0005611672278338945,False,0.0,523.4375,32.604855373840316,-490.83264462615966,12.0
SCHOOL AND OFFICE SUPPLIES,44,Quito,Pichincha,A,5,16,32,2.665395621572087,0.5918972922232607,2.0734983293488263,6.753991414954424,0.0037901186391438965,0.022280750415496414,0.0005611672278338945,0.0005611672278338945,False,0.0,393.75,25.889929119708246,-367.86007088029174,12.0
SCHOOL AND OFFICE SUPPLIES,48,Quito,Pichincha,A,14,16,32,2.3888246769760486,0.4873574442550171,1.9014672327210316,5.468966058858942,0.003069004522367532,0.017896784444492615,0.0005611672278338945,0.0005611672278338945,False,0.0,394.375,31.009835295559185,-363.3651647044408,10.625
SCHOOL AND OFFICE SUPPLIES,50,Ambato,Tungurahua,A,14,16,32,2.1854625644481493,0.6096072986069323,1.575855265841217,4.404625562089439,0.00247173151632404,0.014979357893418496,0.0005611672278338945,0.0005611672278338945,False,0.0,390.125,45.75637113882264,-344.3686288611774,11.875
GROCERY II,19,Guaranda,Bolivar,C,15,16,32,2.0150334694373604,1.1224422535432792,0.8925912158940812,2.8004832704134506,0.0015715394334531148,0.012734179931255996,0.0005611672278338945,0.0005611672278338945,False,0.0625,16.25,53.85617728245684,37.60617728245684,0.0625
SCHOOL AND OFFICE SUPPLIES,9,Quito,Pichincha,B,6,16,32,1.5023607251421927,0.6794953344544271,0.8228653906877655,1.7953738389044411,0.0010075049601035023,0.007078722659551818,0.0005611672278338945,0.0005611672278338945,False,0.0,147.5,32.335411898645695,-115.1645881013543,8.25
GROCERY II,14,Riobamba,Chimborazo,C,7,16,32,1.4657405411753628,0.7751701090719605,0.6905704321034023,1.5475066360464105,0.0008684100090047197,0.006737839387602556,0.0005611672278338945,0.0005611672278338945,False,0.0625,4.0,15.080262274656159,11.080262274656159,0.125
SCHOOL AND OFFICE SUPPLIES,38,Loja,Loja,D,4,16,32,1.2440503748861131,0.18278755580657954,1.0612628190795337,1.514250044696535,0.0008497474998297054,0.00485380569306673,0.0005611672278338945,0.0005611672278338945,False,0.625,4.9375,0.20890745337166217,-4.728592546628338,0.0
LADIESWEAR,20,Quito,Pichincha,B,6,16,32,1.1484157516617854,0.6406387711076774,0.507776980554108,0.9084407036185485,0.0005097871513010934,0.004136230522959185,0.0005611672278338945,0.0005611672278338945,False,0.4375,1.375,4.407732084732717,3.0327320847327166,0.0
SCHOOL AND OFFICE SUPPLIES,20,Quito,Pichincha,B,6,16,32,1.0468082113767627,0.49794253956576584,0.5488656718109969,0.8478606586966128,0.00047579161543019795,0.003436692658725953,0.0005611672278338945,0.0005611672278338945,False,0.0,58.875,19.040188651699935,-39.834811348300065,5.5625
"LIQUOR,WINE,BEER",32,Guayaquil,Guayas,C,3,16,32,1.3331456211832662,1.0109458782124474,0.32219974297081877,0.75526567860538,0.0004238303471410662,0.005573931598923653,0.0005611672278338945,0.0005611672278338945,False,0.0625,36.5,23.389853589417356,-13.110146410582646,1.0
LADIESWEAR,50,Ambato,Tungurahua,A,14,16,32,0.9166514810938684,0.5228208796583222,0.39383060143554616,0.5669082655848807,0.00031813033983438873,0.002635208258259984,0.0005611672278338945,0.0005611672278338945,False,0.0,14.5,26.141297846697686,11.641297846697686,3.3125
"LIQUOR,WINE,BEER",14,Riobamba,Chimborazo,C,7,16,32,0.9259450108749637,0.5453092991483023,0.38063571172666144,0.5600119314266241,0.00031426034311258366,0.0026889135881728045,0.0005611672278338945,0.0005611672278338945,False,0.0,15.875,24.56165094177489,8.68665094177489,0.625
HOME AND KITCHEN I,25,Salinas,Santa Elena,D,1,16,32,0.8674524588481738,0.43942195322176125,0.42803050562641254,0.559382115388515,0.00031390691099243267,0.0023599229221278727,0.0005611672278338945,0.0005611672278338945,False,0.0,22.9375,10.393177287098458,-12.544322712901542,0.3125
GROCERY II,26,Guayaquil,Guayas,D,10,16,32,1.2564764711168634,1.0110817359623638,0.2453947351544996,0.5564468456736189,0.00031225973382357965,0.004951253638716956,0.0005611672278338945,0.0005611672278338945,False,0.125,12.5,16.690915590628382,4.190915590628383,0.1875
