family,store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
SCHOOL AND OFFICE SUPPLIES,47,Quito,Pichincha,A,14,11-50,15,0,2.7330454007530194,,,,0.0,0.021961976502719985,0.0005260942760942761,0.0,True,0.0,538.4,33.60161905885918,-504.7983809411408,12.2
SCHOOL AND OFFICE SUPPLIES,44,Quito,Pichincha,A,5,11-50,15,0,2.6975631786811674,,,,0.0,0.021395428071518376,0.0005260942760942761,0.0,True,0.0,414.2,26.982084059760414,-387.2179159402396,12.533333333333333
SCHOOL AND OFFICE SUPPLIES,48,Quito,Pichincha,A,14,11-50,13,0,2.5619153498512763,,,,0.0,0.01672474000249101,0.00045594837261503927,0.0,True,0.0,464.84615384615387,35.381391708974405,-429.4647621371795,11.846153846153847
SCHOOL AND OFFICE SUPPLIES,50,Ambato,Tungurahua,A,14,11-50,15,0,2.2547639918147735,,,,0.0,0.014947890625455247,0.0005260942760942761,0.0,True,0.0,416.0,48.57489778646182,-367.4251022135382,12.533333333333333
SCHOOL AND OFFICE SUPPLIES,20,Quito,Pichincha,B,6,6-10,9,0,1.2436814269396042,,,,0.0,0.0027286465130095666,0.0003156565656565657,0.0,True,0.0,84.33333333333333,23.288004225496294,-61.04532910783704,7.0
LINGERIE,44,Quito,Pichincha,A,5,6-10,9,0,1.1391086078863906,,,,0.0,0.002289070919076615,0.0003156565656565657,0.0,True,0.0,64.55555555555556,20.359245530208568,-44.19631002534699,6.0
GROCERY II,50,Ambato,Tungurahua,A,14,0,13,0,0.8284077538834502,,,,0.0,0.001748711370598992,0.00045594837261503927,0.0,True,0.0,70.84615384615384,157.27810604382304,86.43195219766919,0.0
LADIESWEAR,50,Ambato,Tungurahua,A,14,2-5,8,0,0.8511376624279205,,,,0.0,0.0011359940971369777,0.0002805836139169473,0.0,True,0.0,12.5,27.647809307277456,15.147809307277454,3.5
LADIESWEAR,45,Quito,Pichincha,A,11,2-5,5,0,1.0214675273771687,,,,0.0,0.0010225995689073296,0.00017536475869809202,0.0,True,0.0,14.4,33.46863735361562,19.06863735361562,3.8
HOME AND KITCHEN I,46,Quito,Pichincha,A,14,0,13,0,0.616856872301,,,,0.0,0.0009696134663155625,0.00045594837261503927,0.0,True,0.0,55.07692307692308,33.356494346054454,-21.720428730868623,0.0
LINGERIE,39,Cuenca,Azuay,B,6,2-5,10,0,0.6884453302355485,,,,0.0,0.0009290206940260004,0.00035072951739618404,0.0,True,0.0,12.2,8.002497715006069,-4.1975022849939325,2.7
HOME AND KITCHEN I,3,Quito,Pichincha,D,8,0,12,0,0.596344611127148,,,,0.0,0.0008364930085034244,0.00042087542087542086,0.0,True,0.0,68.41666666666667,38.667730446993176,-29.748936219673492,0.0
LADIESWEAR,49,Quito,Pichincha,A,11,2-5,9,0,0.6743648206613734,,,,0.0,0.0008022667508666425,0.0003156565656565657,0.0,True,0.0,11.11111111111111,22.088867203803236,10.977756092692125,3.5555555555555554
PERSONAL CARE,41,Machala,El Oro,D,4,11-50,11,0,0.6082375793232241,,,,0.0,0.0007976744002624577,0.00038580246913580245,0.0,True,0.0,425.09090909090907,523.8622903469046,98.77138125599555,12.181818181818182
SCHOOL AND OFFICE SUPPLIES,17,Quito,Pichincha,C,12,6-10,4,0,1.0012152121526223,,,,0.0,0.000785961624383492,0.00014029180695847364,0.0,True,0.0,40.25,15.01430303655259,-25.23569696344741,6.25
BEAUTY,37,Cuenca,Azuay,D,2,2-5,13,0,0.542206900134099,,,,0.0,0.0007491346820997,0.00045594837261503927,0.0,True,0.0,10.307692307692308,5.721589745828123,-4.586102561864185,2.0
LINGERIE,17,Quito,Pichincha,C,12,2-5,6,0,0.7917223426956228,,,,0.0,0.0007371969397214719,0.00021043771043771043,0.0,True,0.0,16.666666666666668,8.266632101423767,-8.4000345652429,3.3333333333333335
SCHOOL AND OFFICE SUPPLIES,39,Cuenca,Azuay,B,6,1,4,0,0.9602980263452616,,,,0.0,0.0007230336920081731,0.00014029180695847364,0.0,True,0.0,7.75,3.1936955147379056,-4.556304485262094,1.0
LADIESWEAR,47,Quito,Pichincha,A,14,2-5,7,0,0.7184348565403066,,,,0.0,0.0007082055096893219,0.00024551066217732886,0.0,True,0.0,18.0,34.454342545211205,16.454342545211208,3.5714285714285716
SCHOOL AND OFFICE SUPPLIES,10,Quito,Pichincha,C,15,2-5,4,0,0.9044685741082508,,,,0.0,0.0006414066025429406,0.00014029180695847364,0.0,True,0.0,8.75,3.104607945386907,-5.645392054613093,2.5
SCHOOL AND OFFICE SUPPLIES,15,Ibarra,Imbabura,C,15,2-5,7,0,0.6574611303902126,,,,0.0,0.0005930955634616854,0.00024551066217732886,0.0,True,0.0,9.857142857142858,7.222817279919945,-2.634325577222912,3.142857142857143
HOME AND KITCHEN I,51,Guayaquil,Guayas,A,17,0,11,0,0.5162409122428381,,,,0.0,0.0005746243101968676,0.00038580246913580245,0.0,True,0.0,33.27272727272727,30.04745664770859,-3.225270625018681,0.0
LINGERIE,6,Quito,Pichincha,D,13,2-5,10,0,0.53869342717537,,,,0.0,0.0005688134071385629,0.00035072951739618404,0.0,True,0.0,12.8,13.147580847211639,0.34758084721164073,3.4
