store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
47,Quito,Pichincha,A,14,11-50,92,156,1.1158090187737892,0.13126053023500125,0.984548488538788,1.2278004395793527,0.003961757871818899,0.022451948287988133,0.0032267115600448934,0.002735690235690236,False,0.0,3007.2025869565214,3312.183438113149,304.98085115662764,20.152173913043477
44,Quito,Pichincha,A,5,11-50,103,173,1.047183435551454,0.14184272496854025,0.9053407105829138,1.0764737890668452,0.003888776665049279,0.022139572141313894,0.003612514029180696,0.003033810325476992,False,0.0,3803.319737864078,4352.546079313954,549.226341449876,19.514563106796118
48,Quito,Pichincha,A,14,11-50,89,156,0.9928076275277606,0.14906147264892264,0.843746154878838,0.9634476626490353,0.0030073948504406615,0.017195178480376924,0.0031214927048260383,0.002735690235690236,False,0.0,2473.7850898876404,2601.085418536664,127.30032864902327,20.43820224719101
50,Ambato,Tungurahua,A,14,11-50,87,155,0.9562221123714825,0.12221345835044368,0.8340086540210387,0.8994245987862045,0.0027444563725589153,0.015592770564540646,0.0030513468013468013,0.0027181537598204267,False,0.0,2083.1622298850575,2437.697179290575,354.5349494055175,19.873563218390803
19,Guaranda,Bolivar,C,15,0,311,622,0.6651971006406219,0.520106953439678,0.14509014720094382,0.17197593968438613,0.0018758598920399863,0.02697413678330161,0.010907687991021325,0.010907687991021325,False,0.24115755627009647,19.54525077170418,19.750642525672024,0.205391753967846,0.0
9,Quito,Pichincha,B,6,6-10,80,82,0.6646344678588365,0.2544461725278318,0.4101882953310047,0.37699612115193565,0.001057789341054814,0.0069269519986928435,0.0028058361391694723,0.0014379910213243546,False,0.0,584.2837375,580.686571085061,-3.5971664149389277,7.875
38,Loja,Loja,D,4,0,302,615,0.47768698312363744,0.3643555033276473,0.11333147979599012,0.09542992104061906,0.0010107967225823147,0.013507663347696687,0.010592031425364759,0.01078493265993266,False,0.20860927152317882,34.17944705629139,31.966821329920638,-2.212625726370755,0.0
14,Riobamba,Chimborazo,C,7,0,313,624,0.5688981961515593,0.5000524177465836,0.06884577840497574,0.07359273709029429,0.0008078888436189013,0.019856372988965816,0.010977833894500562,0.010942760942760943,False,0.3450479233226837,21.674204498402556,21.61551644958097,-0.05868804882158545,0.0
25,Salinas,Santa Elena,D,1,0,315,637,0.5426978570767723,0.47637997004171023,0.06631788703506208,0.06758308821878001,0.000746656593326168,0.01818499719432559,0.011047979797979798,0.011170735129068462,False,0.24444444444444444,34.48619045396825,27.537294846298796,-6.948895607669458,0.0
26,Guayaquil,Guayas,D,10,0,337,642,0.538579891753473,0.4803782247314127,0.05820166702206031,0.05930506100507904,0.0007009611938380905,0.019160932522071357,0.011819584736251403,0.01125841750841751,False,0.3620178041543027,23.436492599406527,23.34067660450796,-0.09581599489856724,0.0
20,Quito,Pichincha,B,6,0,271,587,0.5264163879785256,0.4652899685614292,0.061126419417096456,0.060619458688461886,0.0005761740075958604,0.014720228919264519,0.009504769921436588,0.010293911335578002,False,0.2693726937269373,31.399490763837637,31.634345552821504,0.23485478898386358,0.0
43,Esmeraldas,Esmeraldas,E,10,0,299,612,0.5209038340805163,0.46753741322020986,0.05336642086030646,0.05274957159913682,0.0005531748705156393,0.01590276962478932,0.010486812570145904,0.010732323232323232,False,0.34782608695652173,31.145996688963212,28.756210235551613,-2.3897864534115953,0.0
2,Quito,Pichincha,D,13,0,295,593,0.43246213685767476,0.3657978316341354,0.06666430522353939,0.05321544618727095,0.0005505947188988822,0.010814455725137033,0.01034652076318743,0.010399130190796857,False,0.23389830508474577,65.78451523050848,70.75497782435563,4.970462593847167,0.0
47,Quito,Pichincha,A,14,6-10,80,76,0.44316935673093494,0.1356446049986726,0.30752475173226235,0.17799961988006477,0.0004994377662179146,0.0030797531243178175,0.0028058361391694723,0.0013327721661054994,False,0.0,2318.4873374999997,2548.4932408138843,230.00590331388435,8.325
34,Guayaquil,Guayas,B,6,0,296,604,0.5339991897495557,0.4887093984149414,0.04528979133461436,0.04631825855408808,0.0004808573418914868,0.016544718351802264,0.010381593714927048,0.010592031425364759,False,0.19594594594594594,20.532483094594596,19.772634505252803,-0.7598485893417912,0.0
20,Quito,Pichincha,B,6,6-10,54,54,0.5249724643507239,0.161517073631968,0.3634553907187559,0.24950832325183753,0.00047255364252241956,0.002917113184336176,0.001893939393939394,0.000946969696969697,False,0.0,473.596945,465.1511496950358,-8.445795304964228,7.7407407407407405
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,0,322,629,0.4949561380081047,0.4539033156946107,0.041052822313494,0.03895335855333659,0.0004399193832131868,0.015462359684837477,0.011293490460157127,0.011030443322109989,False,0.391304347826087,8.683217391304348,7.764941064160832,-0.9182763271435161,0.0
32,Guayaquil,Guayas,C,3,0,340,656,0.4941442036740652,0.45532971750791335,0.03881448616615185,0.03685334237883989,0.000439468869556873,0.016273193896013127,0.011924803591470258,0.011503928170594837,False,0.46176470588235297,7.81352940882353,7.025534959160466,-0.787994449663063,0.0
44,Quito,Pichincha,A,5,6-10,77,94,0.4634545626812876,0.23577691489460592,0.22767764778668168,0.1591993780728853,0.00042993659201782296,0.003241839582117706,0.002700617283950617,0.0016484287317620652,False,0.0,1759.3589348051948,2024.7372786069532,265.3783438017585,7.909090909090909
5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0,307,615,0.45851045285988895,0.41826240432386574,0.04024804853602321,0.03528839651099949,0.0003799641459342328,0.012650955511553982,0.01076739618406285,0.01078493265993266,False,0.1791530944625407,37.664058598371334,40.530121091802336,2.866062493431006,0.0
44,Quito,Pichincha,A,5,2-5,46,67,0.514205956479079,0.2462723492566896,0.26793360722238935,0.20375769567015561,0.00032873365603350025,0.002384067289906215,0.0016133557800224467,0.0011749438832772167,False,0.0,218.31052173913042,231.9361006934193,13.62557895428885,3.239130434782609
8,Quito,Pichincha,D,8,0,303,625,0.3930930495728539,0.3527139896203248,0.040379059952529106,0.0301149871485996,0.00032003511174332486,0.009177403563359235,0.010627104377104377,0.010960297418630752,False,0.1551155115511551,143.42256761056106,144.57895570242366,1.156388091862585,0.0
